checking_status,duration,credit_history,purpose,loan_amt,savings_status,emp_length,rate_inc_perc,other_debtors,resid_length,property_type,age,external_credit,housing,internal_credit,job_type,dependent_count,has_phone,foreign_ind,target,female,married
100.0,36,current_bank,domestic appliances,3990,,1,3,none,2,no_property,29,bank,own,1,unskilled_resid,1,0,1,0,1,1
100.0,30,no_credit,business,4280,500.0,4,4,none,4,car,26,none,rent,2,unskilled_nonresid,1,0,1,1,1,1
0.0,24,current_bank,car (new),2325,500.0,7,2,none,3,car,32,bank,own,1,skilled,1,0,1,0,0,0
100.0,10,current_bank,radio/television,1048,100.0,4,4,none,4,real_estate,23,stores,own,1,unskilled_nonresid,1,0,1,0,0,0
100.0,48,delinquent,education,6224,100.0,10,4,none,4,no_property,50,none,for free,1,skilled,1,0,1,1,0,0
0.0,40,current_other,education,5998,100.0,4,4,none,3,no_property,27,bank,own,1,skilled,1,1,1,1,0,0
100.0,42,current_bank,car (used),9283,100.0,0,1,none,2,no_property,55,bank,for free,1,management,1,1,1,0,0,0
100.0,15,no_credit,car (new),1778,100.0,1,2,none,1,real_estate,26,none,rent,2,unskilled_resid,1,0,1,1,1,1
0.0,48,existing_current,domestic appliances,3051,100.0,4,3,none,4,car,54,none,own,1,skilled,1,0,1,1,0,0
0.0,48,existing_current,car (new),3931,100.0,7,4,none,4,no_property,46,none,for free,1,skilled,2,0,1,1,0,0
100.0,36,delinquent,car (new),7432,100.0,4,2,none,2,agreement,54,none,rent,1,skilled,1,0,1,0,1,1
0.0,36,existing_current,furniture/equipment,2712,100.0,10,2,none,2,agreement,41,bank,own,1,skilled,2,0,1,1,0,0
0.0,18,existing_current,car (new),1216,100.0,1,4,none,3,car,23,none,rent,1,skilled,1,1,1,1,1,1
0.0,12,no_credit,car (new),1082,100.0,4,4,none,4,car,48,bank,own,2,skilled,1,0,1,1,0,0
0.0,18,current_bank,car (new),1442,100.0,7,4,none,4,no_property,32,none,for free,2,unskilled_nonresid,2,0,1,1,0,0
0.0,18,current_bank,radio/television,1940,100.0,1,3,co-applicant,4,no_property,36,bank,for free,1,management,1,1,1,0,0,0
100.0,48,existing_current,business,15672,100.0,4,2,none,2,car,23,none,own,1,skilled,1,1,1,1,0,0
0.0,27,current_other,business,2442,100.0,10,4,none,4,car,43,stores,own,4,management,2,1,1,0,0,0
0.0,24,current_bank,business,3161,100.0,4,4,none,2,agreement,31,none,rent,1,skilled,1,1,1,1,0,0
100.0,48,no_credit,others,18424,100.0,4,1,none,2,agreement,32,bank,own,1,management,1,1,0,1,1,1
0.0,24,current_bank,furniture/equipment,6872,100.0,1,2,none,1,agreement,55,bank,own,1,skilled,1,1,1,1,1,1
0.0,12,current_bank,car (new),697,100.0,1,4,none,2,car,46,bank,own,2,skilled,1,1,1,1,0,0
100.0,48,no_credit,car (new),8358,1000.0,1,1,none,1,car,30,none,own,2,skilled,1,0,1,0,1,1
0.0,24,current_bank,furniture/equipment,3349,1000.0,1,4,none,4,no_property,30,none,for free,1,skilled,2,1,1,1,0,0
0.0,36,delinquent,business,2145,100.0,7,2,none,1,car,24,none,own,2,skilled,1,1,1,1,0,0
0.0,28,existing_current,car (new),4006,100.0,4,3,none,2,car,45,none,own,1,unskilled_nonresid,1,0,1,1,0,0
0.0,60,existing_current,business,7297,100.0,10,4,co-applicant,4,no_property,36,none,rent,1,skilled,1,0,1,1,0,0
100.0,15,current_bank,car (new),1264,500.0,4,2,none,2,agreement,25,none,rent,1,skilled,1,0,1,1,0,1
200.0,42,no_credit,business,6289,100.0,1,2,none,1,agreement,33,none,own,2,skilled,1,0,1,0,1,1
0.0,45,existing_current,radio/television,1845,100.0,4,4,none,4,no_property,23,none,for free,1,skilled,1,1,1,1,0,0
