checking_status,duration,credit_history,purpose,loan_amt,savings_status,emp_length,rate_inc_perc,other_debtors,resid_length,property_type,age,external_credit,housing,internal_credit,job_type,dependent_count,has_phone,foreign_ind,target,female,married
,15,existing_current,furniture/equipment,2708,100.0,1,2,none,3,agreement,27,bank,own,2,unskilled_nonresid,1,0,1,0,0,0
,18,existing_current,furniture/equipment,1984,100.0,4,4,none,4,no_property,47,bank,for free,2,skilled,1,0,1,0,0,0
,60,existing_current,radio/television,10144,500.0,7,2,none,4,real_estate,21,none,own,1,skilled,1,1,1,0,1,1
,12,current_other,radio/television,1240,,10,4,none,2,real_estate,38,none,own,2,skilled,1,1,1,0,1,1
,27,delinquent,car (used),8613,1500.0,4,2,none,2,car,27,none,own,2,skilled,1,0,1,0,0,0
100.0,12,existing_current,radio/television,766,1000.0,4,4,none,3,real_estate,66,none,own,1,unskilled_nonresid,1,0,1,1,0,0
100.0,15,current_other,radio/television,2728,,7,4,guarantor,2,real_estate,35,bank,own,3,skilled,1,1,1,0,0,0
200.0,12,existing_current,radio/television,1881,100.0,4,2,none,2,car,44,none,rent,1,unskilled_nonresid,1,1,1,0,1,1
200.0,6,existing_current,car (new),709,1500.0,1,2,none,2,real_estate,27,none,own,1,unskilled_resid,1,0,0,0,0,1
100.0,36,existing_current,radio/television,4795,100.0,1,4,none,1,no_property,30,none,own,1,management,1,1,1,0,1,1
0.0,27,existing_current,radio/television,3416,100.0,4,3,none,2,car,27,none,own,1,management,1,0,1,0,0,0
0.0,18,existing_current,furniture/equipment,2462,100.0,4,2,none,2,car,22,none,own,1,skilled,1,0,1,1,0,0
,21,current_other,furniture/equipment,2288,100.0,1,4,none,4,agreement,23,none,own,1,skilled,1,1,1,0,1,1
0.0,6,current_other,car (new),860,100.0,10,1,none,4,no_property,39,none,own,2,skilled,1,1,1,0,1,1
,12,current_other,car (new),682,500.0,7,4,none,3,car,51,none,own,2,skilled,1,1,1,0,1,1
0.0,36,current_other,furniture/equipment,5371,100.0,4,3,guarantor,2,agreement,28,none,own,2,skilled,1,0,1,0,0,0
,18,current_other,radio/television,1582,1500.0,10,4,none,4,car,46,none,own,2,skilled,1,0,1,0,0,0
,6,existing_current,radio/television,1346,500.0,10,2,none,4,no_property,42,bank,for free,1,skilled,2,1,1,0,0,0
,10,existing_current,radio/television,1924,100.0,4,1,none,4,agreement,38,none,own,1,skilled,1,1,0,0,0,0
200.0,36,existing_current,radio/television,5848,100.0,4,4,none,1,car,24,none,own,1,skilled,1,0,1,0,0,0
100.0,24,current_other,car (used),7758,1500.0,10,2,none,4,no_property,29,none,rent,1,skilled,1,0,1,0,1,1
100.0,24,delinquent,business,6967,500.0,7,4,none,4,car,36,none,rent,1,management,1,1,1,0,0,0
0.0,12,existing_current,furniture/equipment,1282,100.0,4,2,none,4,car,20,none,rent,1,skilled,1,0,1,1,1,1
0.0,9,current_other,repairs,1288,500.0,10,3,guarantor,4,real_estate,48,none,own,2,skilled,2,0,0,0,0,0
0.0,12,current_bank,retraining,339,100.0,10,4,none,1,car,45,bank,own,1,unskilled_nonresid,1,0,1,0,0,1
100.0,24,existing_current,car (new),3512,500.0,7,2,none,3,car,38,bank,own,2,skilled,1,1,1,0,0,0
,6,current_other,radio/television,1898,,4,1,none,2,real_estate,34,none,own,2,unskilled_nonresid,2,0,1,0,0,0
,24,current_other,radio/television,2872,500.0,10,3,none,4,real_estate,36,none,own,1,skilled,2,1,1,0,0,0
,18,current_other,car (new),1055,100.0,1,4,none,1,agreement,30,none,own,2,skilled,1,0,1,0,1,1
,15,existing_current,domestic appliances,1262,1000.0,7,4,none,3,agreement,36,none,own,2,skilled,1,1,1,0,0,0
,36,existing_current,car (new),909,1000.0,10,4,none,4,agreement,36,none,own,1,skilled,1,0,1,0,0,0
,6,existing_current,furniture/equipment,2978,1000.0,4,1,none,2,car,32,none,own,1,skilled,1,1,1,0,0,0
0.0,18,existing_current,furniture/equipment,1131,100.0,0,4,none,2,car,33,none,own,1,skilled,1,0,1,1,1,1
100.0,11,existing_current,furniture/equipment,1577,1500.0,1,4,none,1,real_estate,20,none,own,1,skilled,1,0,1,0,1,1
,24,existing_current,furniture/equipment,3972,100.0,7,2,none,4,agreement,25,none,rent,1,skilled,1,1,1,0,1,1
100.0,24,current_other,business,1935,100.0,10,4,none,4,real_estate,31,none,own,2,skilled,1,1,1,1,1,1
,12,existing_current,furniture/equipment,763,100.0,4,4,none,1,real_estate,26,none,own,1,skilled,1,1,1,0,1,1
100.0,24,delinquent,furniture/equipment,2064,100.0,0,3,none,2,agreement,34,none,own,1,management,1,1,1,1,1,1
100.0,8,existing_current,radio/television,1414,100.0,4,4,guarantor,2,real_estate,33,none,own,1,skilled,1,0,0,0,0,0
0.0,21,delinquent,education,3414,100.0,1,2,none,1,agreement,26,none,own,2,skilled,1,0,1,1,0,0
,30,current_bank,car (used),7485,,0,4,none,1,real_estate,53,bank,own,1,management,1,1,1,1,1,1
0.0,12,existing_current,furniture/equipment,2577,100.0,4,2,none,1,car,42,none,own,1,skilled,1,0,1,0,1,1
0.0,6,current_other,radio/television,338,1000.0,10,4,none,4,car,52,none,own,2,skilled,1,0,1,0,0,0
,12,existing_current,radio/television,1963,100.0,7,4,none,2,car,31,none,rent,2,management,2,1,1,0,0,0
0.0,21,current_other,car (new),571,100.0,10,4,none,4,real_estate,65,none,own,2,skilled,1,0,1,0,0,0
,36,delinquent,business,9572,100.0,1,1,none,1,car,28,none,own,2,skilled,1,0,1,1,1,1
0.0,21,current_bank,car (new),1647,,4,4,none,2,agreement,40,none,own,2,unskilled_nonresid,2,0,1,1,0,0
,24,current_other,furniture/equipment,3777,1500.0,4,4,none,4,real_estate,50,none,own,1,skilled,1,1,1,0,0,0
100.0,18,current_other,car (new),884,100.0,10,4,none,4,car,36,bank,own,1,skilled,2,1,1,1,0,0
,15,current_other,radio/television,1360,100.0,4,4,none,2,agreement,31,none,own,2,skilled,1,0,1,0,0,0
100.0,9,current_bank,car (used),5129,100.0,10,2,none,4,no_property,74,bank,for free,1,management,2,1,1,1,1,1
100.0,16,current_other,car (new),1175,100.0,0,2,none,3,car,68,none,for free,3,unskilled_resid,1,1,1,0,0,0
0.0,12,existing_current,radio/television,674,500.0,7,4,none,1,agreement,20,none,own,1,skilled,1,0,1,1,0,1
,24,existing_current,business,4591,1500.0,4,2,none,3,agreement,54,none,own,3,management,1,1,1,1,0,0
100.0,48,no_credit,business,3844,500.0,7,4,none,4,no_property,34,none,for free,1,unskilled_nonresid,2,0,1,1,0,0
,6,existing_current,radio/television,2108,100.0,7,2,none,2,real_estate,29,none,rent,1,skilled,1,0,1,0,0,1
100.0,45,existing_current,radio/television,3031,500.0,4,4,guarantor,4,agreement,21,none,rent,1,skilled,1,0,1,1,0,0
100.0,9,current_other,education,1501,100.0,10,2,none,3,car,34,none,own,2,management,1,1,1,1,1,1
,6,current_other,radio/television,1382,100.0,4,1,none,1,car,28,none,own,2,skilled,1,1,1,0,1,1
100.0,12,existing_current,furniture/equipment,951,500.0,1,4,none,4,car,27,bank,rent,4,skilled,1,0,1,1,1,1
100.0,24,existing_current,car (used),2760,,10,4,none,4,no_property,36,bank,for free,1,skilled,1,1,1,0,0,0
100.0,18,delinquent,furniture/equipment,4297,100.0,10,4,none,3,no_property,40,none,own,1,management,1,1,1,1,1,1
,9,current_other,education,936,1000.0,10,4,none,2,car,52,none,own,2,skilled,1,1,1,0,0,0
0.0,12,existing_current,car (new),1168,100.0,4,4,none,3,real_estate,27,none,own,1,unskilled_nonresid,1,0,1,0,0,1
,27,delinquent,business,5117,100.0,7,3,none,4,car,26,none,own,2,skilled,1,0,1,0,0,0
0.0,12,existing_current,retraining,902,100.0,7,4,none,4,agreement,21,none,rent,1,skilled,1,0,1,1,0,1
,12,current_other,car (new),1495,100.0,10,4,none,1,real_estate,38,none,own,2,unskilled_nonresid,2,0,1,0,0,0
0.0,30,current_other,car (used),10623,100.0,10,3,none,4,no_property,38,none,for free,3,management,2,1,1,0,0,0
,12,current_other,furniture/equipment,1935,100.0,10,4,none,4,real_estate,43,none,own,3,skilled,1,1,1,0,0,0
100.0,12,current_other,domestic appliances,1424,100.0,7,4,none,3,agreement,26,none,own,1,skilled,1,0,1,0,0,0
0.0,24,existing_current,business,6568,100.0,4,2,none,2,car,21,stores,own,1,unskilled_nonresid,1,0,1,0,0,1
,12,existing_current,car (used),1413,1500.0,7,3,none,2,agreement,55,none,own,1,skilled,1,0,0,0,0,0
,9,current_other,radio/television,3074,,4,1,none,2,real_estate,33,none,own,2,skilled,2,0,1,0,0,0
,36,existing_current,radio/television,3835,,10,2,none,4,real_estate,45,none,own,1,unskilled_nonresid,1,1,1,0,1,1
200.0,30,delinquent,business,1908,100.0,10,4,none,4,real_estate,66,none,own,1,management,1,1,1,1,0,0
,36,current_other,radio/television,3342,,10,4,none,2,car,51,none,own,1,skilled,1,1,1,0,0,0
100.0,6,current_other,retraining,932,,7,1,none,3,agreement,39,none,own,2,unskilled_nonresid,1,0,1,0,1,1
200.0,36,existing_current,radio/television,3913,100.0,4,2,none,2,real_estate,23,none,own,1,skilled,1,1,1,0,0,0
0.0,24,existing_current,furniture/equipment,3021,100.0,4,2,none,2,real_estate,24,none,rent,1,unskilled_nonresid,1,0,1,0,1,1
,10,existing_current,car (new),1364,100.0,4,2,none,4,car,64,none,own,1,skilled,1,1,1,0,1,1
100.0,12,existing_current,radio/television,625,100.0,1,4,guarantor,1,real_estate,26,bank,own,1,unskilled_nonresid,1,0,1,0,0,1
0.0,12,existing_current,education,1200,,4,4,none,4,agreement,23,bank,rent,1,skilled,1,1,1,0,1,1
,12,existing_current,radio/television,707,100.0,4,4,none,2,real_estate,30,bank,own,2,skilled,1,0,1,0,0,0
,24,delinquent,business,2978,,4,4,none,4,real_estate,32,none,own,2,skilled,2,1,1,0,0,0
,15,existing_current,car (used),4657,100.0,4,3,none,2,car,30,none,own,1,skilled,1,1,1,0,0,0
,36,no_credit,repairs,2613,100.0,4,4,none,2,car,27,none,own,2,skilled,1,0,1,0,0,0
100.0,48,existing_current,radio/television,10961,1500.0,7,1,co-applicant,2,no_property,27,bank,own,2,skilled,1,1,1,1,0,0
0.0,12,existing_current,furniture/equipment,7865,100.0,10,4,none,4,no_property,53,none,for free,1,management,1,1,1,1,0,0
,9,existing_current,radio/television,1478,100.0,7,4,none,2,car,22,none,own,1,skilled,1,0,1,1,0,0
200.0,36,existing_current,radio/television,4210,100.0,4,4,none,2,car,26,none,own,1,skilled,1,0,1,1,0,0
,9,existing_current,car (new),2507,1000.0,10,2,none,4,no_property,51,none,for free,1,unskilled_nonresid,1,0,1,0,0,0
,12,existing_current,radio/television,2141,500.0,7,3,none,1,no_property,35,none,own,1,skilled,1,0,1,0,0,0
100.0,18,existing_current,radio/television,866,100.0,4,4,guarantor,2,real_estate,25,none,own,1,unskilled_nonresid,1,0,1,0,0,1
,4,current_other,radio/television,1544,100.0,7,2,none,1,real_estate,42,none,own,3,unskilled_nonresid,2,0,1,0,0,0
0.0,24,existing_current,radio/television,1823,100.0,0,4,none,2,car,30,stores,own,1,management,2,0,1,1,0,0
100.0,6,existing_current,car (new),14555,,0,1,none,2,agreement,23,none,own,1,unskilled_resid,1,1,1,1,0,0
100.0,21,existing_current,business,2767,500.0,10,4,none,2,car,61,bank,rent,2,unskilled_nonresid,1,0,1,1,1,1
,12,current_other,radio/television,1291,100.0,4,4,none,2,agreement,35,none,own,2,skilled,1,0,1,0,1,1
0.0,30,existing_current,radio/television,2522,100.0,10,1,guarantor,3,agreement,39,none,own,1,skilled,2,0,1,0,0,0
0.0,24,existing_current,car (new),915,,10,4,none,2,car,29,bank,own,1,skilled,1,0,1,1,1,1
,6,existing_current,radio/television,1595,100.0,7,3,none,2,agreement,51,none,own,1,skilled,2,0,1,0,0,0
0.0,48,no_credit,car (used),4605,100.0,10,3,none,4,no_property,24,none,for free,2,skilled,2,0,1,1,0,0
,12,current_other,business,1185,100.0,4,3,none,2,real_estate,27,none,own,2,skilled,1,0,1,0,1,1
,12,current_bank,retraining,3447,1000.0,4,4,none,3,real_estate,35,none,own,1,unskilled_nonresid,2,0,1,0,1,1
,24,existing_current,business,1258,100.0,7,4,none,1,real_estate,25,none,own,1,skilled,1,1,1,0,0,0
,12,current_other,radio/television,717,100.0,10,4,none,4,real_estate,52,none,own,3,skilled,1,0,1,0,0,0
,6,no_credit,car (new),1204,500.0,4,4,none,1,no_property,35,bank,rent,1,skilled,1,0,0,0,0,0
200.0,24,existing_current,furniture/equipment,1925,100.0,4,2,none,2,real_estate,26,none,own,1,skilled,1,0,1,0,0,0
,18,existing_current,radio/television,433,100.0,0,3,co-applicant,4,real_estate,22,none,rent,1,skilled,1,0,1,1,1,1
0.0,6,current_other,car (new),666,1500.0,7,3,none,4,real_estate,39,none,own,2,unskilled_nonresid,1,1,1,0,1,1
200.0,12,existing_current,furniture/equipment,2251,100.0,4,1,none,2,car,46,none,own,1,unskilled_nonresid,1,0,1,0,1,1
,24,delinquent,furniture/equipment,4151,500.0,4,2,none,3,agreement,35,none,own,2,skilled,1,0,1,0,0,0
100.0,9,existing_current,furniture/equipment,2030,,7,2,none,1,car,24,none,own,1,skilled,1,1,1,0,0,0
100.0,60,delinquent,radio/television,7418,,4,1,none,1,real_estate,27,none,own,1,unskilled_nonresid,1,0,1,0,0,0
,24,current_other,radio/television,2684,100.0,4,4,none,2,real_estate,35,none,own,2,unskilled_nonresid,1,0,1,0,0,0
,15,existing_current,car (used),3812,500.0,1,1,none,4,car,23,none,own,1,skilled,1,1,1,0,1,1
